0,128,120,50.0,0,200000000000,,
1,133,120,50.0,0,200000000000,,
2,137,120,50.0,0,200000000000,,
3,131,120,50.0,0,197700000000,,
4,123,120,50.0,0,136900000000,,
5,124,120,50.0,0,136900000000,,
6,125,120,50.0,0,136900000000,,
7,129,120,50.0,0,136900000000,,
8,139,120,50.0,0,136900000000,,
9,141,120,50.0,0,136900000000,,
10,136,120,50.0,0,82800000000,,
11,136,120,50.0,154500000000,200000000000,,
12,121,120,50.0,0,87000000000,,
13,130,120,50.0,0,20300000000,,
14,140,120,50.0,184900000000,200000000000,,
